P9723_1005_S5_L001_R2_001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.25	0.0	0.0	0.25	0.75	0.5	0.0	0.5	0.5	0.75	0.75	3.5	7.75	7.75	14.25	24.25	62.5	125.75	275.75	571.5	1172.75	2787.0	2146.25	1727.0	2135.0	3546.5	5462.75	6802.75	10262.75	12409.5	7564.5	4082.75	2302.0	2556.0	1765.5	1753.75	1141.0	550.5	238.5	96.5	36.25	23.0	17.25	11.75	8.25	7.0	5.75	6.25	2.75	1.25	0.75	0.5	0.0	0.0	0.0	0.0	1.0	1.25	0.25	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P9723_1006_S6_L001_R1_001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.25	1.5	6.0	13.5	31.25	70.5	161.25	274.75	435.0	679.25	1081.5	1071.0	1431.75	2087.75	2175.25	2810.0	4813.5	13732.5	21360.25	16368.25	15677.0	3211.5	909.75	526.0	401.25	185.75	58.0	38.75	28.25	27.5	46.75	32.5	12.25	6.5	3.0	0.5	0.0	0.5	0.0	0.75	0.75	1.0	0.25	0.75	0.0	0.0	0.0	0.0	0.25	0.5	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.25	0.5	0.0	0.0	0.25	0.25	0.0	0.3333333333333333
P9723_1006_S6_L001_R2_001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.75	0.75	0.5	2.25	2.75	3.25	14.0	22.25	54.0	129.5	249.0	523.25	816.75	1067.75	1466.75	1879.0	2151.5	2754.25	4056.0	6770.75	19828.75	17793.0	13522.25	11928.5	2816.75	1102.25	625.5	330.75	152.25	67.25	39.0	28.25	29.0	36.75	34.75	19.25	11.0	2.75	1.25	1.25	0.5	0.75	0.5	0.5	0.75	0.0	0.25	0.25	1.25	1.25	1.5	0.5	0.0	0.0	0.25	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.3333333333333333
P9723_1009_S9_L001_R1_001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	1.0	1.0	1.0	2.25	0.5	0.75	7.0	41.5	84.25	76.25	135.75	226.5	390.0	711.25	1521.0	2211.25	1723.75	1503.25	1910.0	4883.25	5649.5	3576.75	1864.25	3600.75	3128.25	2679.0	2156.75	4686.5	2992.75	3436.5	1035.0	312.0	74.75	30.75	19.5	11.5	1.75	2.25	1.25	0.25	0.5	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.25	0.0	0.25	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P9723_1009_S9_L001_R2_001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.5	0.5	0.5	0.5	0.0	0.5	1.0	2.0	4.0	4.25	7.5	15.75	40.0	75.5	88.5	131.75	275.0	602.5	1234.75	2035.75	1762.75	1846.5	2733.0	3806.5	4529.25	3309.0	2893.75	3542.0	3100.25	2507.0	2360.0	4582.5	3669.5	2926.75	1631.0	704.5	264.5	100.25	43.0	25.75	19.5	12.75	5.25	3.0	1.25	0.75	0.25	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.25	0.0	0.0	0.0	0.25	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P9723_1010_S10_L001_R1_001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	1.75	2.0	6.25	12.75	31.0	70.75	129.0	188.75	272.0	431.75	475.25	608.0	887.5	904.25	1396.0	4166.0	3218.0	8335.5	11663.5	23928.0	6851.25	1616.0	600.75	342.25	99.75	36.0	25.75	18.75	16.0	10.75	7.5	2.5	1.5	0.5	0.0	0.0	0.0	0.25	0.25	0.0	0.25	0.25	0.25	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.25	0.25	0.0	0.0	0.0	0.0
P9723_1010_S10_L001_R2_001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.25	0.5	0.25	1.0	1.25	3.5	5.75	15.5	32.0	61.0	109.5	227.5	362.25	464.5	655.0	865.0	1094.75	1785.0	3240.0	4071.25	7086.75	7467.25	15793.0	19171.25	4916.0	1700.0	717.75	338.75	116.75	49.75	27.25	23.75	17.5	14.5	13.25	10.25	4.25	2.0	1.0	1.25	0.5	0.5	0.0	0.0	0.25	0.75	0.25	0.25	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.25	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P9723_1011_S11_L001_R1_001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.25	1.75	2.5	7.25	24.75	62.5	150.75	313.25	424.0	665.75	1091.0	1768.5	2780.5	5999.5	2208.0	3739.5	9380.0	9320.0	15397.5	13890.75	6024.5	2044.75	1245.25	1024.0	1103.75	407.25	197.0	155.0	256.5	546.0	104.25	16.75	6.5	2.25	0.5	0.25	0.5	0.0	0.0	0.0	0.25	0.0	0.0	0.25	0.0	0.25	0.25	0.0	0.25	0.0	0.25	0.25	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P9723_1011_S11_L001_R2_001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.25	1.0	1.5	1.5	2.5	3.75	7.0	15.75	38.0	117.25	170.75	253.75	579.75	980.75	1568.5	3120.5	5498.5	2814.25	3425.25	6828.75	9773.25	11507.5	13211.0	7237.75	4010.0	1962.0	1373.0	1109.75	692.25	365.0	194.25	123.75	126.75	156.25	291.0	256.75	127.5	48.0	15.0	2.75	1.25	1.25	0.75	1.0	0.5	0.25	0.5	0.0	0.5	0.5	0.75	0.5	0.0	0.0	0.5	0.0	0.25	0.5	0.25	0.5	0.25	0.0	0.0	0.25	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P9723_1012_S12_L001_R1_001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	2.5	2.75	6.75	9.75	26.5	66.75	158.75	243.75	432.0	1051.5	1960.25	4558.25	6522.5	5906.75	5606.25	1615.25	1801.25	3142.0	7188.5	4658.25	1896.25	1523.25	1496.0	1320.0	1005.5	744.5	428.0	609.5	158.25	68.25	15.75	4.5	1.75	0.5	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.25	0.0	0.25	0.0	0.0	0.0	0.0
