Module	Section	Sample Name	Source
FastQC	all_sections	P9723_1047_S47_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1047_S47_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1047_S47_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1047_S47_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1048_S48_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1048_S48_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1048_S48_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1048_S48_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1049_S49_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1049_S49_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1049_S49_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1049_S49_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1050_S50_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1050_S50_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1050_S50_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1050_S50_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1051_S51_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1051_S51_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1051_S51_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1051_S51_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1052_S52_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1052_S52_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1052_S52_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1052_S52_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1053_S53_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1053_S53_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1053_S53_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1053_S53_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1054_S54_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1054_S54_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1054_S54_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1054_S54_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1055_S55_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1055_S55_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1055_S55_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1055_S55_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1056_S56_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1056_S56_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1056_S56_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1056_S56_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1057_S57_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1057_S57_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1058_S58_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1058_S58_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1058_S58_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1058_S58_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1059_S59_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1059_S59_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1059_S59_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1059_S59_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1060_S60_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1060_S60_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1060_S60_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1060_S60_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1061_S61_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1061_S61_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1061_S61_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1061_S61_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1062_S62_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1062_S62_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1062_S62_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1062_S62_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1063_S63_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1063_S63_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1063_S63_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1063_S63_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1064_S64_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1064_S64_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1064_S64_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1064_S64_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1065_S65_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1065_S65_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1065_S65_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1065_S65_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1066_S66_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1066_S66_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1066_S66_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1066_S66_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1067_S67_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1067_S67_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1067_S67_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1067_S67_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1068_S68_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1068_S68_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1068_S68_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1068_S68_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1069_S69_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1069_S69_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1069_S69_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1069_S69_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1070_S70_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1070_S70_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1070_S70_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1070_S70_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1071_S71_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1071_S71_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1071_S71_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1071_S71_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1072_S72_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1072_S72_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1072_S72_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1072_S72_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1073_S73_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1073_S73_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1073_S73_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1073_S73_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1074_S74_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1074_S74_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1074_S74_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1074_S74_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1075_S75_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1075_S75_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1075_S75_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1075_S75_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1076_S76_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1076_S76_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1076_S76_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1076_S76_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1077_S77_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1077_S77_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1077_S77_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1077_S77_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1078_S78_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1078_S78_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1078_S78_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1078_S78_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1079_S79_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1079_S79_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1079_S79_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1079_S79_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1080_S80_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1080_S80_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1080_S80_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1080_S80_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1081_S81_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1081_S81_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1081_S81_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1081_S81_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1082_S82_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1082_S82_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1082_S82_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1082_S82_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1083_S83_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1083_S83_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1083_S83_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1083_S83_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1084_S84_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1084_S84_L001_R1_001_fastqc.zip
FastQC	all_sections	P9723_1084_S84_L001_R2_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1084_S84_L001_R2_001_fastqc.zip
FastQC	all_sections	P9723_1085_S85_L001_R1_001	/Users/juliana/Documents/Drive/NBIS/Projects/6198/Data/P9723_1085_S85_L001_R1_001_fastqc.zip
