Observed	Chao1	se.chao1	ACE	se.ACE	Shannon	Simpson	InvSimpson	Fisher	NGI_ID	User_ID	Mreads	Q30	Sample_ID_O	Site	Transect	Ecotype	Type	Main_Analysis	Reads_Sample
250	250	0	250	7.27296363252285	3.98636606367449	0.960186484269557	25.1170985946205	35.1143150583439	P9723_1067	55a	0.13	68.18.00	55	I	3	Meadow	A	Yes	43365
207	207	0	207	6.39141936864526	3.56217705066366	0.931566714681902	14.6127720648176	26.3937975750735	P9723_1068	75a	0.18	70.59.00	75	V	3	Pine	A	Yes	67204
195	195	0	195	6.4147266464533	3.43678520588963	0.92944357431806	14.1730535572746	27.1780332591292	P9723_1073	18a	0.14	71.61	18	IV	1	Spruce	A	Yes	35474
281	281	0	281	7.64748231545027	3.83892687942011	0.945834323694484	18.461876010919	41.1607969527042	P9723_1074	38a	0.12	65.91	38	III	2	Spruce-Alder	A	Yes	37922
243	243	0	243	7.45411202010209	3.33642067362054	0.91849451037204	12.2691122348273	33.3993757919604	P9723_1075	58a	0.15	70.08.00	58	II	3	Alder	A	Yes	48215
139	139	0	139	5.25466562127096	3.00714288388955	0.864306481857373	7.36954877202685	18.9356966204034	P9723_1081	19a	0.08	71.21.00	19	IV	1	Spruce	A	Yes	29174
261	261	0	261	7.65841635040617	3.53422778115582	0.879107470159998	8.27180969182688	39.2786987428135	P9723_1082	39a	0.11	71.74	39	III	2	Spruce-Alder	A	Yes	30158
299	299	0	299	7.88037654228277	3.83678221988169	0.945231763622261	18.258758472757	45.0806862607642	P9723_1083	59a	0.11	69.57.00	59	II	3	Alder	A	Yes	34190
162	162	0	162	5.81186525805423	3.0803738706718	0.875257375445781	8.01650601447261	22.2799044714598	P9723_1089	20a	0.11	69.09.00	20	IV	1	Spruce	A	Yes	32020
237	237	0	237	7.27982009329333	3.10281764921747	0.861333368196226	7.21154027462854	33.7153715796528	P9723_1090	40a	0.12	68.04.00	40	III	2	Spruce-Alder	A	Yes	38044
265	265	0	265	7.78823495880709	3.50160240750353	0.932156205461852	14.7397415903337	38.8430086221479	P9723_1091	60a	0.11	69.57.00	60	II	3	Alder	A	Yes	35624
