	P9723_1001_S1_L001	P9723_1002_S2_L001	P9723_1003_S3_L001	P9723_1004_S4_L001	P9723_1005_S5_L001	P9723_1006_S6_L001	P9723_1009_S9_L001	P9723_1010_S10_L001	P9723_1011_S11_L001	P9723_1012_S12_L001	P9723_1013_S13_L001	P9723_1014_S14_L001	P9723_1015_S15_L001	P9723_1016_S16_L001	P9723_1017_S17_L001	P9723_1018_S18_L001	P9723_1019_S19_L001	P9723_1020_S20_L001	P9723_1021_S21_L001	P9723_1022_S22_L001	P9723_1023_S23_L001	P9723_1024_S24_L001	P9723_1025_S25_L001	P9723_1026_S26_L001	P9723_1027_S27_L001	P9723_1028_S28_L001	P9723_1029_S29_L001	P9723_1030_S30_L001	P9723_1031_S31_L001	P9723_1032_S32_L001	P9723_1033_S33_L001	P9723_1034_S34_L001	P9723_1035_S35_L001	P9723_1036_S36_L001	P9723_1037_S37_L001	P9723_1038_S38_L001	P9723_1039_S39_L001	P9723_1040_S40_L001	P9723_1041_S41_L001	P9723_1042_S42_L001	P9723_1043_S43_L001	P9723_1044_S44_L001	P9723_1045_S45_L001	P9723_1046_S46_L001	P9723_1047_S47_L001	P9723_1048_S48_L001	P9723_1049_S49_L001	P9723_1050_S50_L001	P9723_1051_S51_L001	P9723_1052_S52_L001	P9723_1053_S53_L001	P9723_1054_S54_L001	P9723_1055_S55_L001	P9723_1056_S56_L001	P9723_1058_S58_L001	P9723_1059_S59_L001	P9723_1060_S60_L001	P9723_1061_S61_L001	P9723_1062_S62_L001	P9723_1063_S63_L001	P9723_1064_S64_L001	P9723_1065_S65_L001	P9723_1066_S66_L001	P9723_1067_S67_L001	P9723_1068_S68_L001	P9723_1069_S69_L001	P9723_1070_S70_L001	P9723_1071_S71_L001	P9723_1072_S72_L001	P9723_1073_S73_L001	P9723_1074_S74_L001	P9723_1075_S75_L001	P9723_1077_S77_L001	P9723_1078_S78_L001	P9723_1079_S79_L001	P9723_1081_S81_L001	P9723_1082_S82_L001	P9723_1083_S83_L001	P9723_1085_S85_L001	P9723_1086_S86_L001	P9723_1087_S87_L001	P9723_1089_S89_L001	P9723_1090_S90_L001	P9723_1091_S91_L001	P9723_1093_S93_L001	P9723_1094_S94_L001	P9723_1095_S95_L001
ASV21	0	6	0	53	6	5	0	0	0	324	9	0	0	296	0	0	0	171	0	4	0	93	6739	0	0	34	6647	0	0	31	5317	8	0	0	7254	0	5	0	7706	4	8	0	7382	18	4	0	18	1681	0	0	21	1434	9	0	3101	0	0	41	2933	0	0	472	38	22	6	491	34	7	0	47	23	128	27	17	122	0	20	93	0	11	118	0	58	88	0	60	72
ASV22	0	66	4077	178	0	347	0	341	251	73	0	772	373	108	0	263	985	98	0	941	1645	134	0	0	208	387	59	0	523	697	0	0	280	454	0	7	1431	1260	0	0	101	335	0	0	1060	943	0	0	0	1369	721	3	0	1947	0	0	6184	503	0	0	7128	79	0	0	2946	549	3	0	2046	224	2293	0	250	2728	7	66	117	0	220	101	0	257	150	12	627	297	13
ASV23	0	11919	0	0	0	13215	0	0	0	0	0	0	0	0	0	12436	0	0	0	11584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV24	0	0	0	17	0	0	0	0	0	239	0	0	0	183	0	0	0	13	0	14	0	0	0	12	0	0	0	0	4	0	0	28	0	0	0	17	0	0	8	0	0	0	10	0	0	0	0	10070	0	0	0	7743	0	0	15492	0	0	0	14751	0	0	0	9	0	0	12	8	0	0	0	4	59	0	5	60	0	17	0	0	8	0	0	0	21	0	4	19
ASV25	0	17	36	671	0	6	0	41	56	452	0	63	48	487	0	38	14	1879	0	26	11	1909	333	0	0	773	290	0	0	779	1531	66	26	34	1645	7	34	24	1409	0	6	46	1368	0	5	15	6	2603	0	0	9	2337	0	4	198	6	18	30	192	0	10	1179	14	7	4	1324	9	0	3	246	174	7380	224	181	6968	0	564	84	0	455	79	0	74	1041	0	62	991
ASV26	0	0	0	5834	0	0	0	0	839	991	0	0	791	1049	0	0	1205	0	6	0	1307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1389	0	0	0	1007	0	0	0	0	210	0	0	0	0	0	76	2203	0	0	75	745	0	0	0	820	0	0	0	0	0	1492	0	0	1931	2730	0	2050	4182	0	2226	0	0	2485	0	0	3121
ASV27	244	0	0	0	156	0	29	0	0	38	0	0	0	36	1628	0	0	0	1775	0	0	0	5759	0	0	0	4718	0	0	0	3017	136	0	0	4478	93	0	0	3403	1594	0	0	3454	2322	0	0	0	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	1260	0	0	1250	0	0	527	0	0	482	0	0	577	0	0	624
ASV28	2651	0	0	0	4006	0	8692	0	0	0	12064	0	0	0	1144	0	0	0	1185	0	0	0	5	108	0	0	58	11	0	0	17	233	0	0	117	961	0	0	0	36	0	0	120	454	0	0	0	0	345	0	0	0	1114	0	0	959	0	0	0	1575	0	0	0	456	0	10	0	743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV29	1552	0	0	453	1451	0	71	0	0	119	52	0	0	115	3561	0	0	69	3178	0	0	53	198	344	0	40	209	122	0	36	1089	0	0	0	1362	0	0	0	237	125	0	11	290	134	0	6	200	0	0	0	238	0	0	0	220	3987	0	785	187	3474	0	45	0	958	0	46	0	1182	0	0	0	1293	0	0	1232	0	0	1225	0	0	1132	0	0	1836	0	5	1860
ASV30	0	3275	0	0	0	3013	0	97	0	0	0	112	0	0	0	0	2087	0	0	0	1938	0	0	0	5818	0	0	0	5416	0	0	0	805	0	0	0	807	0	0	0	2867	0	13	0	2850	0	0	0	0	1590	0	0	0	987	0	0	429	0	0	0	386	0	0	0	847	0	0	0	579	102	0	0	56	0	0	33	0	0	18	0	0	0	0	0	0	0	0
